genres,original_title,overview,ratings,votes,overview_new
Action  Adventure  Sci-Fi,x-men: apocalypse,"In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world.",6.9,397941,"1980s x-men must defeat ancient all-powerful mutant, en sabah nur, intends thrive bringing destruction world."
Action  Comedy  Crime,the nice guys,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",7.4,285186,"1970s los angeles, mismatched pair private eye investigate missing girl mysterious death porn star."
Action  Adventure  Sci-Fi,rogue one,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.,7.8,562548,daughter imperial scientist join rebel alliance risky move steal plan death star.
Comedy  Drama  Music,la la land,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",8.0,513888,"navigating career los angeles, pianist actress fall love attempting reconcile aspiration future."
Animation  Adventure  Comedy,zootopia,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",8.0,439568,"city anthropomorphic animals, rookie bunny cop cynical con artist fox must work together uncover conspiracy."
Adventure  Drama  Family,miss peregrine's home for peculiar children,"When Jacob (Asa Butterfield) discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.",6.7,157397,"jacob (asa butterfield) discovers clue mystery stretch across time, find miss peregrine's home peculiar children. danger deepens get know resident learns special powers."
Biography  Drama  History,hacksaw ridge,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",8.1,443861,"world war ii american army medic desmond t. doss, served battle okinawa, refuse kill people, becomes first man american history receive medal honor without firing shot."
Comedy  Horror  Romance,the love witch,"A modern-day witch uses spells and magic to get men to fall in love with her, with deadly consequences.",6.2,13395,"modern-day witch us spell magic get men fall love her, deadly consequences."
Biography  Comedy  Crime,war dogs,"Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan.",7.1,182944,"loosely based true story two young men, david packouz efraim diveroli, three hundred million dollar contract pentagon arm america's ally afghanistan."
Action  Adventure  Fantasy,gods of egypt,"Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.",5.4,107584,"mortal hero bek team god horus alliance set, merciless god darkness, usurped egypt's throne, plunging peaceful prosperous empire chaos conflict."
Drama,manchester by the sea,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,7.8,250924,depressed uncle asked take care teenage nephew boy's father dies.
Action  Adventure  Drama,the legend of tarzan,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",6.2,164636,"tarzan, acclimated life london, called back former home jungle investigate activity mining encampment."
Action  Adventure  Drama,shin gojira,Japan is plunged into chaos upon the appearance of a giant monster.,6.8,23694,japan plunged chaos upon appearance giant monster.
Action  Adventure  Sci-Fi,star trek beyond,"The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test.",7.1,230283,"crew us enterprise explores furthest reach uncharted space, encounter new ruthless enemy, put them, everything federation stand for, test."
Drama  Romance,me before you,A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.,7.4,212681,girl small town form unlikely bond recently-paralyzed man taking care of.
Adventure  Family  Fantasy,fantastic beasts and where to find them,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,7.3,415082,adventure writer newt scamander new york's secret community witch wizard seventy year harry potter read book school.
Drama,moonlight,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",7.4,277968,"young african-american man grapple identity sexuality experiencing everyday struggle childhood, adolescence, burgeoning adulthood."
Animation  Comedy  Family,sing,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.",7.1,135821,"city humanoid animals, hustling theater impresario's attempt save theater singing competition becomes grander anticipates even finalist find life never same."
Adventure  Comedy  Drama,hunt for the wilderpeople,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,7.9,113920,national manhunt ordered rebellious kid foster uncle go missing wild new zealand bush.
Crime  Drama  Mystery,the girl on the train,A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.,6.5,171603,divorcee becomes entangled missing person investigation promise send shockwaves throughout life.
Drama  Romance  Sci-Fi,passengers,A malfunction in a sleeping pod on a spacecraft traveling to a distant colony planet wakes one passenger 90 years early.,7.0,354399,malfunction sleeping pod spacecraft traveling distant colony planet wake one passenger 90 year early.
Crime  Horror  Thriller,don't breathe,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",7.1,225743,"hoping walk away massive fortune, trio thief break house blind man helpless seems."
Biography  Drama,lion,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",8.0,216984,"five-year-old indian boy adopted australian couple getting lost hundred kilometer home. 25 year later, set find lost family."
Action  Crime  Drama,the accountant,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise.",7.3,264112,"math savant uncooks book new client, treasury department close activities, body count start rise."
Action  Drama  History,13 hours,"During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.",7.3,121562,"attack u.s. compound libya, security team struggle make sense chaos."
Action  Adventure  Western,the magnificent seven,Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist.,6.9,186885,seven gunman variety background brought together vengeful young widow protect town private army destructive industrialist.
Horror  Mystery  Thriller,the conjuring 2,Ed and Lorraine Warren travel to North London to help a single mother raising four children alone in a house plagued by a supernatural spirit.,7.3,228559,ed lorraine warren travel north london help single mother raising four child alone house plagued supernatural spirit.
Action  Thriller,jason bourne,The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.,6.6,210326,cia's dangerous former operative drawn hiding uncover explosive truth past.
Adventure  Family  Fantasy,the bfg,"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",6.4,78575,"orphan little girl befriends benevolent giant take giant country, attempt stop man-eating giant invading human world."
Drama  Fantasy  Horror,a cure for wellness,"An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem.",6.4,88371,"ambitious young executive sent retrieve company's ceo idyllic mysterious ""wellness center"" remote location swiss alps, soon suspect spa's treatment seem."
Action  Adventure  Fantasy,warcraft,"As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.",6.8,243268,"orc horde invades planet azeroth using magic portal, human hero dissenting orcs must attempt stop true evil behind war."
Action  Adventure  Comedy,now you see me 2,"The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet.",6.5,252687,"four horseman resurface, forcibly recruited tech genius pull impossible heist yet."
Action  Crime  Drama,live by night,"A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan.",6.4,52784,"group boston-bred gangster set shop balmy florida prohibition era, facing competition ku klux klan."
Action  Crime  Drama,hell or high water,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,7.6,206573,divorced father ex-con older brother resort desperate scheme order save family's ranch west texas.
Comedy,dirty grandpa,"Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant Colonel, to Florida for Spring Break.",5.9,114762,"right wedding, uptight guy tricked driving grandfather, lecherous former army lieutenant colonel, florida spring break."
Action  Adventure  Sci-Fi,independence day: resurgence,"Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?",5.2,168147,"two decade first independence day invasion, earth faced new extra-solar threat. mankind's new space defense enough?"
Action  Drama  Horror,10 cloverfield lane,"After getting in a car accident, a woman is held in a shelter by a man who claims that the outside world is affected by a widespread chemical attack.",7.2,293754,"getting car accident, woman held shelter man claim outside world affected widespread chemical attack."
Horror  Thriller,the neon demon,"An aspiring model, Jesse, is new to Los Angeles. However, her beauty and youth, which generate intense fascination and jealousy within the fashion industry, may prove themselves sinister.",6.2,85485,"aspiring model, jesse, new los angeles. however, beauty youth, generate intense fascination jealousy within fashion industry, may prove sinister."
Action  Adventure  Sci-Fi,the 5th wave,"Four waves of increasingly deadly alien attacks have left most of Earth in ruin. Cassie is on the run, desperately trying to save her younger brother.",5.2,101576,"four wave increasingly deadly alien attack left earth ruin. cassie run, desperately trying save younger brother."
Action  Adventure  Sci-Fi,assassin's creed,"Callum Lynch explores the memories of his ancestor Aguilar de Nerha and gains the skills of a Master Assassin, before taking on the secret Templar society.",5.7,187473,"callum lynch explores memory ancestor aguilar de nerha gain skill master assassin, taking secret templar society."
Comedy  Romance,mike and dave need wedding dates,"Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo.",6.0,83330,"two hard-partying brother place online ad find perfect date sister's hawaiian wedding. hoping wild getaway, boy instead find out-hustled uncontrollable duo."
Action  Biography  Drama,dangal,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,8.4,159865,former wrestler mahavir singh phogat two wrestler daughter struggle towards glory commonwealth game face societal oppression.
Biography  Drama,the lost city of z,"A true-life drama, centering on British explorer Major Percival Fawcett, who disappeared whilst searching for a mysterious city in the Amazon in the 1920s.",6.6,81671,"true-life drama, centering british explorer major percival fawcett, disappeared whilst searching mysterious city amazon 1920s."
Action  Comedy,keeping up with the joneses,A suburban couple becomes embroiled in an international espionage plot when they discover that their seemingly perfect new neighbors are government spies.,5.9,58378,suburban couple becomes embroiled international espionage plot discover seemingly perfect new neighbor government spies.
Biography  Drama,the founder,"The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into the biggest restaurant business in the world, with a combination of ambition, persistence, and ruthlessness.",7.2,128858,"story ray kroc, salesman turned two brothers' innovative fast food eatery, mcdonald's, biggest restaurant business world, combination ambition, persistence, ruthlessness."
Drama  History,silence,"In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.",7.2,101670,"17th century, two portuguese jesuit priest travel japan attempt locate mentor, rumored committed apostasy, propagate catholicism."
Action  Adventure  Crime,inferno,"When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot.",6.2,161792,"robert langdon wake italian hospital amnesia, team dr. sienna brooks, together must race across europe clock foil deadly global plot."
Action  Crime  Drama,message from the king,"A mysterious outsider from South Africa, named Jacob King, arrives in Los Angeles to look for his missing younger sister.",6.4,14380,"mysterious outsider south africa, named jacob king, arrives los angeles look missing younger sister."
Comedy,bad moms,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun and comedic self-indulgence.",6.2,115401,"three overworked under-appreciated mom pushed beyond limits, ditch conventional responsibility jolt long overdue freedom, fun comedic self-indulgence."
Action  Comedy  Fantasy,ghostbusters,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",6.6,205879,"following ghost invasion manhattan, paranormal enthusiast erin gilbert abby yates, nuclear engineer jillian holtzmann, subway worker patty tolan band together stop otherworldly threat."
Animation  Adventure  Comedy,sausage party,A sausage strives to discover the truth about his existence.,6.1,177679,sausage strives discover truth existence.
Action  Adventure  Mystery,allegiant,"After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them.",5.7,110665,"earth-shattering revelation insurgent, tris must escape four beyond wall encircles chicago, finally discover shocking truth world around them."
Action  Thriller,london has fallen,"In London for the Prime Minister's funeral, Mike Banning is caught up in a plot to assassinate all the attending world leaders.",5.9,146926,"london prime minister's funeral, mike banning caught plot assassinate attending world leaders."
Adventure  Drama  Family,the jungle book,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.",7.4,260687,"threat tiger shere khan force flee jungle, man-cub named mowgli embarks journey self discovery help panther bagheera free-spirited bear baloo."
Action  Adventure  Fantasy,the great wall,"In ancient China, a group of European mercenaries encounters a secret army that maintains and defends the Great Wall of China against a horde of monstrous creatures.",5.9,126379,"ancient china, group european mercenary encounter secret army maintains defends great wall china horde monstrous creatures."
Animation  Adventure  Comedy,trolls,"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.",6.5,73236,"bergen invade troll village, poppy, happiest troll ever born, curmudgeonly branch set journey rescue friends."
Action  Comedy  Fantasy,pride and prejudice and zombies,Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies.,5.8,52210,five sister 19th century england must cope pressure marry protecting growing population zombies.
Action  Drama  Horror,the shallows,"A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.",6.3,121384,"mere 200 yard shore, surfer nancy attacked great white shark, short journey safety becoming ultimate contest wills."
Drama  Romance,below her mouth,An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever.,5.5,10670,unexpected affair quickly escalates heart-stopping reality two woman whose passionate connection change life forever.
Comedy,everybody wants some!!,"In 1980, a group of college baseball players navigate their way through the freedoms and responsibilities of unsupervised adulthood.",6.9,52316,"1980, group college baseball player navigate way freedom responsibility unsupervised adulthood."
Action  Thriller,jack reacher: never go back,Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name while on the run as a fugitive from the law.,6.1,140832,jack reacher must uncover truth behind major government conspiracy order clear name run fugitive law.
Drama  Romance,the choice,Travis and Gabby first meet as neighbors in a small coastal town and wind up in a relationship that is tested by life's most defining events.,6.6,35705,travis gabby first meet neighbor small coastal town wind relationship tested life's defining events.
Biography  Crime  Drama,snowden,"The NSA's illegal surveillance techniques are leaked to the public by one of the agency's employees, Edward Snowden, in the form of thousands of classified documents distributed to the press.",7.3,139989,"nsa's illegal surveillance technique leaked public one agency's employees, edward snowden, form thousand classified document distributed press."
Action  Sci-Fi  Thriller,criminal,"In a last-ditch effort to stop a diabolical plot, a dead CIA operative's memories, secrets, and skills are implanted into a death-row inmate in hopes that he will complete the operative's mission.",6.3,60428,"last-ditch effort stop diabolical plot, dead cia operative's memories, secrets, skill implanted death-row inmate hope complete operative's mission."
Comedy  Drama,the edge of seventeen,"High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother.",7.3,106259,"high-school life get even unbearable nadine best friend, krista, start dating older brother."
Horror  Thriller,hush,A deaf and mute writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.,6.6,106398,deaf mute writer retreated wood live solitary life must fight life silence masked killer appears window.
Drama,miss sloane,"In the high-stakes world of political power-brokers, Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career, she finds winning may come at too high a price.",7.5,65488,"high-stakes world political power-brokers, elizabeth sloane sought formidable lobbyist d.c. taking powerful opponent career, find winning may come high price."
Action  Drama  History,deepwater horizon,"A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in American history.",7.1,153780,"dramatization disaster april 2010, offshore drilling rig called deepwater horizon exploded, resulting worst oil spill american history."
Action  Drama  Romance,allied,"In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",7.1,143356,"1942, canadian intelligence officer north africa encounter female french resistance fighter deadly mission behind enemy lines. reunite london, relationship tested pressure war."
Animation  Adventure  Comedy,finding dory,"Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.",7.3,243891,"friendly forgetful blue tang dory begin search long-lost parents, everyone learns thing real meaning family along way."
Action  Crime  Drama,patriots day,"The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible.",7.4,93617,"story 2013 boston marathon bombing aftermath, includes city-wide manhunt find terrorist responsible."
Action  Comedy  Drama,colossal,"Gloria is an out-of-work party girl forced to leave her life in New York City and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected to this phenomenon.",6.2,59768,"gloria out-of-work party girl forced leave life new york city move back home. report surface giant creature destroying seoul, gradually come realization somehow connected phenomenon."
Biography  Crime  Drama,the infiltrator,A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar.,7.0,69488,u.s. custom official uncovers money laundering scheme involving colombian drug lord pablo escobar.
Comedy  Drama,the fundamentals of caring,A man suffering a family loss enrolls in a class about care-giving that changes his perspective on life.,7.3,62231,man suffering family loss enrolls class care-giving change perspective life.
Comedy  Drama  Romance,mother's day,Three generations come together in the week leading up to Mother's Day.,5.7,33333,three generation come together week leading mother's day.
Biography  Drama,sully,"The story of Chesley ""Sully"" Sullenberger (Tom Hanks), an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew.",7.4,241870,"story chesley ""sully"" sullenberger (tom hanks), american pilot became hero landing damaged plane hudson river order save flight's passenger crew."
Action  Horror  Mystery,the bad batch,"In a desert dystopia, a young woman is kidnapped by cannibals.",5.3,27142,"desert dystopia, young woman kidnapped cannibals."
Action  Crime  Thriller,triple 9,A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.,6.3,67654,gang criminal corrupt cop plan murder police officer order pull biggest heist yet across town.
Comedy  Drama,toni erdmann,A practical joking father tries to reconnect with his hard working daughter by creating an outrageous alter ego and posing as her CEO's life coach.,7.4,44837,practical joking father try reconnect hard working daughter creating outrageous alter ego posing ceo's life coach.
Comedy  Drama  Fantasy,swiss army man,"A hopeless man stranded on a deserted island befriends a dead body, and together they go on a surreal journey to get home.",7.0,107276,"hopeless man stranded deserted island befriends dead body, together go surreal journey get home."
Horror  Mystery  Thriller,the boy,"An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive.",6.0,81488,"american nanny shocked new english family's boy actually life-sized doll. violates list strict rules, disturbing event make believe doll really alive."
Action  Adventure  Fantasy,underworld: blood wars,Vampire death dealer Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.,5.8,70534,vampire death dealer selene (kate beckinsale) fight end eternal war lycan clan vampire faction betrayed her.
Comedy  Drama  Music,"hail, caesar!",A Hollywood fixer in the 1950s works to keep the studio's stars in line.,6.3,125368,hollywood fixer 1950s work keep studio's star line.
Animation  Action  Adventure,kung fu panda 3,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to home.",7.1,136554,"continuing ""legendary adventure awesomeness"", po must face two hugely epic, different threats: one supernatural little closer home."
Drama  Horror  Mystery,lights out,"Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with a supernatural spirit attached to their mother.",6.3,116230,"rebecca must unlock terror behind little brother's experience tested sanity, bringing face face supernatural spirit attached mother."
Drama,fences,"A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.",7.2,99470,"working-class african-american father try raise family 1950s, coming term event life."
Action  Horror  Sci-Fi,resident evil: the final chapter,"Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.",5.5,85076,"alice return nightmare began: hive raccoon city, umbrella corporation gathering force final strike remaining survivor apocalypse."
Action  Adventure  Drama,the huntsman: winter's war,"Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.",6.1,99026,"eric fellow warrior sara, raised member ice queen freya's army, try conceal forbidden love fight survive wicked intention freya sister ravenna."
Adventure  Crime  Drama,gold,"Kenny Wells, a prospector desperate for a lucky break, teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia.",6.7,58273,"kenny wells, prospector desperate lucky break, team similarly eager geologist set journey find gold uncharted jungle indonesia."
Action  Adventure  Comedy,grimsby,A new assignment forces a top spy to team up with his football hooligan brother.,6.2,94187,new assignment force top spy team football hooligan brother.
Action  Adventure  Crime,nerve,"A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers.""",6.5,117439,"high school senior find immersed online game truth dare, every move start become manipulated anonymous community ""watchers."""
Action  Adventure  Drama,the promise,"Set during the last days of the Ottoman Empire, The Promise follows a love triangle between Michael, a brilliant medical student, the beautiful and sophisticated Ana, and Chris - a renowned American journalist based in Paris.",6.4,173195,"set last day ottoman empire, promise follows love triangle michael, brilliant medical student, beautiful sophisticated ana, chris renowned american journalist based paris."
Horror  Mystery  Thriller,the autopsy of jane doe,"A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets.",6.8,101022,"father son, coroners, pulled complex mystery attempting identify body young woman, apparently harboring dark secrets."
Drama,suntan,"On a hedonistic Greek island, a middle-aged doctor becomes obsessed with a young tourist when she lets him tag along with her group of hard partying friends.",6.6,6196,"hedonistic greek island, middle-aged doctor becomes obsessed young tourist let tag along group hard partying friends."
Adventure  Drama  Romance,american honey,"A teenage girl with nothing to lose joins a traveling magazine sales crew, and gets caught up in a whirlwind of hard partying, law bending and young love as she criss-crosses the Midwest with a band of misfits.",7.0,39078,"teenage girl nothing lose join traveling magazine sale crew, get caught whirlwind hard partying, law bending young love criss-crosses midwest band misfits."
Comedy  Drama  Music,sing street,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,7.9,86159,boy growing dublin 1980s escape strained family life starting band impress mysterious girl likes.
Comedy,why him?,A holiday gathering threatens to go off the rails when Ned Fleming realizes that his daughter's Silicon Valley millionaire boyfriend is about to pop the question.,6.2,102583,holiday gathering threatens go rail ned fleming realizes daughter's silicon valley millionaire boyfriend pop question.
Adventure  Family  Fantasy,alice through the looking glass,Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.,6.2,95384,alice return whimsical world wonderland travel back time help mad hatter.
Action  Crime  Drama,blood father,An ex-con reunites with his estranged wayward 17-year old daughter to protect her from drug dealers who are trying to kill her.,6.4,60261,ex-con reunites estranged wayward 17-year old daughter protect drug dealer trying kill her.
Comedy  Drama  Romance,paterson,"A quiet observation of the triumphs and defeats of daily life, along with the poetry evident in its smallest details.",7.4,71761,"quiet observation triumph defeat daily life, along poetry evident smallest details."
Action  Drama  History,the siege of jadotville,Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during the early 1960s.,7.2,33249,irish commandant pat quinlan lead stand troop french belgian mercenary congo early 1960s.
Action  Adventure  Comedy,teenage mutant ninja turtles: out of the shadows,"The Turtles get into another battle with their enemy the Shredder, who has acquired new allies: the mutant thugs Bebop and Rocksteady and the alien being Krang.",6.0,85270,"turtle get another battle enemy shredder, acquired new allies: mutant thug bebop rocksteady alien krang."
Animation  Adventure  Comedy,the secret life of pets,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",6.5,184554,"quiet life terrier named max upended owner take duke, stray max instantly dislikes."
Action  Adventure  Comedy,the do-over,"Two down-on-their-luck guys decide to fake their own deaths and start over with new identities, only to find the people they're pretending to be are in even deeper trouble.",5.7,41311,"two down-on-their-luck guy decide fake death start new identities, find people they're pretending even deeper trouble."
Action  Comedy  Crime,central intelligence,"After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage.",6.3,161564,"reconnects awkward pal high school facebook, mild-mannered accountant lured world international espionage."
Action  Biography  Drama,free state of jones,A disillusioned Confederate army deserter returns to Mississippi and leads a militia of fellow deserters and women in an uprising against the corrupt local Confederate government.,6.9,53398,disillusioned confederate army deserter return mississippi lead militia fellow deserter woman uprising corrupt local confederate government.
Animation  Adventure  Comedy,ice age: collision course,"When Scrat's acorn sends an asteroid to Earth, the Herd must find a way to stop the asteroid from hitting Earth with the help of a returning friend.",5.7,58031,"scrat's acorn sends asteroid earth, herd must find way stop asteroid hitting earth help returning friend."
Comedy  Music,popstar: never stop never stopping,"When it becomes clear that his solo album is a failure, a former boy band member does everything in his power to maintain his celebrity status.",6.7,55529,"becomes clear solo album failure, former boy band member everything power maintain celebrity status."
Action  Crime  Drama,bastille day,A young pickpocket and an unruly CIA agent team up on an anti-terrorist mission in France.,6.3,39289,young pickpocket unruly cia agent team anti-terrorist mission france.
Action  Adventure  Horror,cell,"When a mysterious cell phone signal causes apocalyptic chaos, an artist is determined to reunite with his young son in New England.",4.4,25855,"mysterious cell phone signal cause apocalyptic chaos, artist determined reunite young son new england."
